,area,bathroom_num,bedroom_num,city,desc,dev_name,floor_count,floor_num,furnishing,id,id_string,latitude,locality,longitude,post_date,poster_name,price,project,title,trans,type,url,user_type
1935,1000.0,2.0,4,Mumbai,"2 Bath,Furnished,4 floor,East facing Multistorey apartment is available for rent. It is nice 2 BHK furnished flat at Band Stand Bandra West.",Sheth Developers,10.0,4.0,Furnished,46408381,domcache_srp_46408381,19.0602605967823,Bandra Band Stand,72.8242003856004,2019-12-05,Durgesh jadhav,280000,Sea Bird Apartment," 4 BHK Apartment for Rent in Sea Bird Apartment, Bandra Band Stand 1000 sqft",Rent,Apartment,/propertyDetails/4-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Bandra-Band-Stand-in-Mumbai&id=4d423436343038333831,Agent
8603,1000.0,1.0,1,Mumbai,"1 Bath,Semi-Furnished,Ground floor,North facing 600 sqft. carpet plus 200 sqft.lawn semifurnished flat on rent in vijay vihar chembur east, prime location all banks, malls, markets are nearby.",House of Hiranandani,3.0,0.0,Semi-Furnished,31788913,domcache_srp_31788913,19.0483954,Chembur,72.9068286,2019-12-11,OM prakash,35000,Maitri Park,"1 BHK Apartment for Rent in Maitri Park, Chembur",Rent,Apartment,/propertyDetails/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Chembur-in-Mumbai-r10&id=4d423331373838393133,Agent
9109,1000.0,1.0,1,Mumbai,"1 Bath,Semi-Furnished,7 floor  The Apartment has No/Rare Powercut 24 Hours Available water supply. The beautiful Apartment includes 1 bathrooms and 1 balconies This is a spacious 1 AC, 1 Bed, 1 Wardrobe, 1 TV, Dining Table, Gas Connection Apartment. The project has None elevator in the tower. It offers an extra Store too. ",Cooperative Group Housing Society,8.0,7.0,Semi-Furnished,46047845,domcache_srp_46047845,0.0,Andheri West,0.0,2019-11-14,Dharmesh,33000,Andheri CHS,"1 BHK Apartment for Rent in Andheri CHS, Andheri West",Rent,Apartment,/propertyDetails/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Andheri-West-in-Mumbai&id=4d423436303437383435,Agent
10178,1000.0,1.0,1,Mumbai,"1 Bath,Unfurnished,9 floor,East facing 1 BHK flat on rent available at Godrej Trees Vikhroli East please contact us for more details.",Godrej Properties,18.0,9.0,Unfurnished,47306569,domcache_srp_47306569,19.0937492,Vikhroli,72.922604,2020-01-13,Vinayak  Pandya,44000,Godrej The Trees,"1 BHK Apartment for Rent in Godrej The Trees, Vikhroli",Rent,Apartment,/propertyDetails/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vikhroli-in-Mumbai&id=4d423437333036353639,Agent
10391,1000.0,1.0,1,Mumbai,"1 Bath,Unfurnished,8 floor,East facing 1 BHK Flat on rent available at Godrej Trees Vikhroli east please contact us for more details.",Godrej Properties,18.0,8.0,Unfurnished,46690013,domcache_srp_46690013,19.0937492,Vikhroli,72.922604,2019-12-13,Vinayak  Pandya,40000,Godrej The Trees,"1 BHK Apartment for Rent in Godrej The Trees, Vikhroli",Rent,Apartment,/propertyDetails/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Vikhroli-in-Mumbai&id=4d423436363930303133,Agent
10989,1000.0,1.0,1,Mumbai,"1 Bath,Semi-Furnished,18 floor,East facing Residential apartment for rent.The property has 1 bedroom with 1 bathroom .It is a semifurnished property.Located in babasaheb ambedkar nagar.Available at an expected price of rs 57,000.Located on 18th floor out of the 20 the property comes with a good construction quality which ages 01 years old property the location has easy access to market, malls, banks, hospital, school etc.",Sugee Group,20.0,18.0,Semi-Furnished,46612197,domcache_srp_46612197,19.016018571807894,Dadar West,72.8351364599614,2019-12-20,Surya Mishra,57000,Sugee Sadan,"1 BHK Apartment for Rent in Sugee Sadan, Dadar West",Rent,Apartment,/propertyDetails/1-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Dadar-West-in-Mumbai&id=4d423436363132313937,Agent
12012,1000.0,2.0,2,Mumbai,"2 Bath,Unfurnished,8 floor,West facing The project has 2 elevator in every tower. In this Apartment there is No/Rare Powercut 24 Hours Available water supply",Ekta World,15.0,8.0,Unfurnished,46721083,domcache_srp_46721083,19.471987,Dongarpada,72.800387,2020-01-11,Sales Team,10000,Ekta Parksville," 2 BHK Apartment for Rent in Ekta Parksville, Dongarpada 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Dongarpada-in-Mumbai&id=4d423436373231303833,Agent
12029,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,2 floor,East facing this property is prime location near by each and every thing",Agarwal Group,7.0,2.0,Semi-Furnished,37000249,domcache_srp_37000249,19.46703238,Virar,72.80161155,2020-01-07,Govind  Gupta,10000,Agarwal Lifestyle," 2 BHK Apartment for Rent in Agarwal Lifestyle, Virar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Virar-in-Mumbai-r3&id=4d423337303030323439,Agent
12116,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,7 floor,East facing This property is prime location plz c. More enquiry",Bachraj Group,7.0,7.0,Semi-Furnished,34425585,domcache_srp_34425585,19.468761249552895,Virar,72.8001300663784,2020-01-07,Govind  Gupta,8000,Bachraj Paradise," 2 BHK Apartment for Rent in Bachraj Paradise, Virar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Virar-in-Mumbai-r6&id=4d423334343235353835,Agent
12145,1000.0,2.0,2,Mumbai,"2 Bath,Semi-Furnished,1 floor,East facing 2 BHK, Multistorey Apartment is available for Rent in Virar, Mumbai for 12,000",Bachraj Group,7.0,1.0,Semi-Furnished,47302065,domcache_srp_47302065,19.468761249552895,Virar,72.8001300663784,2020-01-13,Swapnu,12000,Bachraj Paradise," 2 BHK Apartment for Rent in Bachraj Paradise, Virar 1000 sqft",Rent,Apartment,/propertyDetails/2-BHK-1000-Sq-ft-Multistorey-Apartment-FOR-Rent-Virar-in-Mumbai&id=4d423437333032303635,Agent
